Ward,Precinct,Polling Place, Address, City, State, Zip, Latitude, Longitude,
1,1,Mathews Dickey Boys & Girls Club,4245 N. Kingshighway Blvd,St. Louis, MO,63115,38.6818374,-90.24806924,
1,2,Lexington Elementary School,5030 Lexington Ave.,St. Louis, MO,63115,38.67439145,-90.25519555,
1,3,New Sunny Mount Hunter's Hall,4638 W. Florissant Ave,St. Louis, MO,63115,38.68480081,-90.23027681,
1,4,New Sunny Mount Hunter's Hall,4638 W. Florissant Ave,St. Louis, MO,63115,38.68480081,-90.23027681,
1,5,Lexington Elementary School,5030 Lexington Ave.,St. Louis, MO,63115,38.67439145,-90.25519555,
1,6,Williams Temple,1500 N Union Blvd,St. Louis, MO,63113,38.665827,-90.267542,
1,7,Lexington Elementary School,5030 Lexington Ave,St. Louis, MO,63115,38.67439145,-90.25519555,
2,1,Jesus Is All Family Worship Center,1524 East Grand Ave,St. Louis, MO,63107,38.67134187,-90.20672218,
2,2,Our Lady of the Holy Cross,1022 Baden Ave,St. Louis, MO,63147,38.71041588,-90.23487942,
2,3,Baden Branch Library,8448 Church Rd,St. Louis, MO,63147,38.71446945,-90.23318109,
2,4,Our Lady of the Holy Cross,1022 Baden Ave.,St. Louis, MO,63147,38.71041588,-90.23487942,
2,5,Nance School,8959 Riverview Blvd.,St. Louis, MO,63147,38.7214055,-90.24114784,
2,6,Jesus Is All Family Worship Center,1524 East Grand Ave,St. Louis, MO,63107,38.67134187,-90.20672218,
2,7,Nance School,8959 Riverview Blvd,St. Louis, MO,63147,38.7214055,-90.24114784,
2,8,Nance School,8959 Riverview Blvd,St. Louis, MO,63147,38.7214055,-90.24114784,
3,1,Blewett School,1927 Cass Ave.,St. Louis, MO,63106,38.64306782,-90.20370178,
3,2,Fifth Missionary Baptist Church,3736 Natural Bridge Rd.,St. Louis, MO,63107,38.662513,Ê-90.219924,
3,3,Blewett School,1927 Cass Ave.,St. Louis, MO,63106,38.64306782,-90.20370178,
3,4,Clay Community Center,3820 14th St.,St. Louis, MO,63106,38.663364,-90.199317,
3,5,Bryan Hill School,2128 Gano Ave.,St. Louis, MO,63107,38.6703258,-90.2140664,
3,6,Fifth Missionary Baptist Church,3736 Natural Bridge Rd.,St. Louis, MO,63107,38.662513,Ê-90.219924,
3,7,Clay Community Center,3820 14th St.,St. Louis, MO,63106,38.663364,-90.199317,
3,8,Bryan Hill School,2128 Gano Ave.,St. Louis, MO,63107,38.6703258,-90.2140664,
3,9,Ames School,2900 Hadley St.,St. Louis, MO,63107,38.6527653,-90.19533103,
4,1,Newstead Missionary Baptist Church,4370 North Market St.,St. Louis, MO,63113,38.65954408,-90.24277491,
4,10,Newstead Missionary Baptist Church,4370 North Market St,St. Louis, MO,63113,38.65954408,-90.24277491,
4,2,Stanley & Clayton Rice Center,4145 W. Kennerly Ave.,St. Louis, MO,63113,38.65929645,-90.23394819,
4,3,Newstead Missionary Baptist Church,4370 North Market St.,St. Louis, MO,63113,38.65954408,-90.24277491,
4,4,Hickey School,3111 Cora Ave.,St. Louis, MO,63115,38.6692523,-90.24516875,
4,5,Stanley & Clayton Rice Center,4145 W. Kennerly Ave.,St. Louis, MO,63113,38.65929645,-90.23394819,
4,6,West Side Missionary Baptist Ch,4675 Page Blvd.,St. Louis, MO,63113,38.6452018,-90.2258543,
4,7,Hickey School,3111 Cora Ave.,St. Louis, MO,63115,38.6692523,-90.24516875,
4,8,West Side Missionary Baptist Ch,4675 Page Blvd.,St. Louis, MO,63113,38.6452018,-90.2258543,
4,9,West Side Missionary Baptist Ch,4675 Page Blvd.,St. Louis, MO,63113,38.6452018,-90.2258543,
5,1,Columbia School,3120 St Louis Ave.,St. Louis, MO,63106,38.653359,-90.21909332,
5,2,Columbia School,3120 St Louis Ave.,St. Louis, MO,63106,38.653359,-90.21909332,
5,3,Jefferson School,1301 Hogan Street,St. Louis, MO,63106,38.64090275,-90.20390319,
5,4,Bread Of Life Church,2001 North 11th Street,St. Louis, MO,63106,38.646212,-90.191104,
5,5,Jefferson School,1301 Hogan Street,St. Louis, MO,63106,38.64090275,-90.20390319,
5,6,Henry School,1220 N. 10th St.,St. Louis, MO,63106,38.63728895,-90.19130956,
5,7,Henry School,1220 N. 10th St.,St. Louis, MO,63106,38.63728895,-90.19130956,
5,8,Henry School,1220 N 10th St.,St. Louis, MO,63106,38.63728895,-90.19130956,
6,1,Barr Branch Library,1701 S. Jefferson Ave.,St. Louis, MO,63104,38.614659,-90.22104,
6,2,Berea Temple Assembly of God,3224 Russell Blvd,St. Louis, MO,63104,38.6121635,-90.233748,
6,3,Berea Temple Assembly of God,3224 Russell Blvd,St. Louis, MO,63104,38.6121635,-90.233748,
6,4,Hodgen School,1616 California Ave.,St. Louis, MO,63104,38.6166551,-90.22452232,
6,5,Heritage House Apartments,2800 Olive Street,St. Louis, MO,63103,38.633968,-90.218485,
6,6,Hodgen School,1616 California Ave.,St. Louis, MO,63104,38.6166551,-90.22452232,
6,7,Shenandoah School,3412 Shenandoah Ave.,St. Louis, MO,63103,38.60893895,-90.2371036,
6,8,Peabody School,1224 S. 14th St.,St. Louis, MO,63104,38.6168227,-90.20505105,
6,9,Shenandoah School,3412 Shenandoah Ave,St. Louis, MO,63103,38.60893895,-90.2371036,
7,1,Sigel School,2039 Russell Blvd.,St. Louis, MO,63104,38.60956792,-90.21595767,
7,2,Sigel School,2039 Russell Blvd.,St. Louis, MO,63104,38.60956792,-90.21595767,
7,3,Sigel School,2039 Russell Blvd.,St. Louis, MO,63104,38.60956792,-90.21595767,
7,4,Central Library,1301 Olive St.,St. Louis, MO,63101,38.6307376,-90.19947022,
7,5,St. Vincent's Church (hall),1408 S. 10th St.,St. Louis, MO,63104,38.6134188,-90.20102524,
7,6,MCC of Greater St Louis,1920 South 7th St.,St. Louis, MO,63104,38.6117144,-90.1985632,
8,1,Kingshighway Branch Library,2260 S. Vandeventer Ave.,St. Louis, MO,63110,38.61282965,-90.26694686,
8,2,Kingshighway Branch Library,2260 S. Vandeventer Ave.,St. Louis, MO,63110,38.61282965,-90.26694686,
8,3,St. Margaret of Scotland School,3964 Castleman,St. Louis, MO,63110,38.61525215,-90.24764237,
8,4,Tower Grove Baptist Church (Hallway),4257 Magnolia Ave.,St. Louis, MO,63110,38.6090566,-90.25607787,
8,5,St. Margaret of Scotland School,3964 Castleman,St. Louis, MO,63110,38.61525215,-90.24764237,
8,6,Missouri School For The Blind,3867 Magnolia Ave.,St. Louis, MO,63110,38.60769092,-90.24573389,
8,7,Missouri School For The Blind,3867 Magnolia Ave.,St. Louis, MO,63110,38.60769092,-90.24573389,
8,8,Missouri School For The Blind,3867 Magnolia Ave.,St. Louis, MO,63110,38.60769092,-90.24573389,
8,9,Missouri School For The Blind,3867 Magnolia Ave.,St. Louis, MO,63110,38.60769092,-90.24573389,
9,1,Booth Manor,3131 Iowa Ave.,St. Louis, MO,63118,38.5986428,-90.22820869,
9,2,Maryville Gardens Apartments,4333 Nebraska Ave.,St. Louis, MO,63111,38.57706623,-90.23569942,
9,3,St Agnes Apartments,2840 Wisconsin Ave.,St. Louis, MO,63118,38.6005717,-90.21853793,
9,4,B K Z American Legion Post 422,2601 S. 11th St.,St. Louis, MO,63118,38.60177855,-90.21135599,
9,5,St. Agnes Apartments,2840 Wisconsin Ave.,St. Louis, MO,63118,38.6005717,-90.21853793,
9,6,Booth Manor,3131 Iowa Ave.,St. Louis, MO,63118,38.5986428,-90.22820869,
9,7,Booth Manor,3131 Iowa Ave.,St. Louis, MO,63118,38.5986428,-90.22820869,
9,8,B K Z American Legion Post 422,2601 S. 11th St.,St. Louis, MO,63118,38.60177855,-90.21135599,
9,9,St. Agnes Apartments,2840 Wisconsin Ave,St. Louis, MO,63118,38.6005717,-90.21853793,
10,1,St. Louis Activity Center,5602 Arsenal St.,St. Louis, MO,63139,38.60621056,-90.28213729,
10,10,St. Louis Activity Center,5602 Arsenal St.,St. Louis, MO,63139,38.60621056,-90.28213729,
10,2,Shaw School,5329 Columbia Ave.,St. Louis, MO,63139,38.6116978,-90.27705498,
10,3,Shaw School,5329 Columbia Ave.,St. Louis, MO,63139,38.6116978,-90.27705498,
10,4,Kennard School,5031 Potomac St.,St. Louis, MO,63139,38.59811145,-90.27636535,
10,5,Kennard School,5031 Potomac St.,St. Louis, MO,63139,38.59811145,-90.27636535,
10,6,Shaw School,5329 Columbia Ave.,St. Louis, MO,63139,38.6116978,-90.27705498,
10,7,Kennard School,5031 Potomac St.,St. Louis, MO,63139,38.59811145,-90.27636535,
10,9,St. Louis Activity Center,5602 Arsenal St.,St. Louis, MO,63139,38.60621056,-90.28213729,
11,1,Carondelet Branch Library,6800 Michigan Ave.,St. Louis, MO,63111,38.5547568,-90.2542059,
11,2,Woodward Elementary School,725 Bellerive Blvd.,St. Louis, MO,63111,38.5656791,-90.24999204,
11,3,Carondelet Library,6800 Michigan Ave.,St. Louis, MO,63111,38.5547568,-90.2542059,
11,4,Carondelet Library,6800 Michigan Ave.,St. Louis, MO,63111,38.5547568,-90.2542059,
11,5,Woodward Elementary School,725 Bellerive Blvd.,St. Louis, MO,63111,38.5656791,-90.24999204,
11,6,Woodward Elementary School,725 Bellerive Blvd.,St. Louis, MO,63111,38.5656791,-90.24999204,
12,1,St. Lucas Evangelical Church,7100 Morganford Rd.,St. Louis, MO,63116,38.564513,-90.278431,
12,2,Immaculate Heart Of Mary Church,4092 Blow St.,St. Louis, MO,63116,38.563512,-90.276393,
12,3,St. Lucas Evangelical Church,7100 Morganford Rd.,St. Louis, MO,63116,38.564513,-90.278431,
12,4,Immaculate Heart Of Mary Church,4092 Blow St.,St. Louis, MO,63116,38.563512,-90.276393,
12,5,Concordia Turners,6432 Gravois Ave.,St. Louis, MO,63116,38.57327666,-90.28123436,
12,6,Concordia Turners,6432 Gravois Ave.,St. Louis, MO,63116,38.57327666,-90.28123436,
12,8,Immaculate Heart Of Mary Church,4092 Blow St.,St. Louis, MO,63116,38.563512,-90.276393,
12,9,Immaculate Heart Of Mary Church,4092 Blow St.,St. Louis, MO,63116,38.563512,-90.276393,
13,1,Our Lady of Sorrows School,5028 Rhodes Ave.,St. Louis, MO,63116,38.57791845,-90.28397802,
13,2,Woerner School,6131 Leona Ave.,St. Louis, MO,63116,38.56138,-90.27602,
13,3,Long Middle School,5028 Morganford Rd.,St. Louis, MO,63111,38.5801333,-90.2670614,
13,4,Woerner School,6131 Leona St.,St. Louis, MO,63116,38.5694724,-90.26895507,
13,6,Long Middle School,5028 Morganford Rd,St. Louis, MO,63116,38.5801333,-90.2670614,
13,7,Long Middle School,5028 Morganford Rd.,St. Louis, MO,63116,38.5801333,-90.2670614,
14,1,Kingshighway Baptist Church,5401 S. Kingshighway,St. Louis, MO,63109,38.60537,-90.26915,
14,2,Aboussie Pavilion Apartments,4635 Ridgewood Ave.,St. Louis, MO,63116,38.58524409,-90.27191029,
14,3,Aboussie Pavilion Apartments,4635 Ridgewood Ave.,St. Louis, MO,63116,38.58524409,-90.27191029,
14,4,St. Mary Magdalen School,4924 Bancroft,St. Louis, MO,63109,38.589693,-90.275428,
14,5,Oak Hill School,4300 Morganford Rd.,St. Louis, MO,63116,38.589332,-90.264302,
14,6,St. John The Baptist School,4170 Delor,St. Louis, MO,63116,38.579769,-90.263796,
14,7,St. John The Baptist School,4170 Delor,St. Louis, MO,63116,38.579769,-90.263796,
14,8,St. John The Baptist School,4170 Delor,St. Louis, MO,63116,38.579769,-90.263796,
14,9,Oak Hill School,4300 Morganford Rd.,St. Louis, MO,63116,38.589332,-90.264302,
15,1,Fanning School,3417 Grace Ave.,St. Louis, MO,63116,38.59563565,-90.2452982,
15,2,Mann School,4047 Juniata St.,St. Louis, MO,63116,38.6023422,-90.2542369,
15,3,Mann  School,4047 Juniata St.,St. Louis, MO,63116,38.6023422,-90.2542369,
15,4,St. Paul United Church,3510 Giles Ave,St. Louis, MO,63116,38.59372471,-90.24611454,
15,5,Fanning School,3417 Grace Ave,St. Louis, MO,63116,38.59563565,-90.2452982,
15,6,St. Paul United Church,3510 Giles Ave,St. Louis, MO,63116,38.59372471,-90.24611454,
15,7,St. Paul United Church,3510 Giles Ave.,St. Louis, MO,63116,38.59372471,-90.24611454,
16,1,Busch Academy,5910 Clifton Ave.,St. Louis, MO,63109,38.5778227,-90.29657893,
16,2,Busch Academy,5910 Clifton Ave.,St. Louis, MO,63109,38.5778227,-90.29657893,
16,3,Buder School,5319 Lansdowne Ave.,St. Louis, MO,63109,38.58899065,-90.28313178,
16,4,Nottingham School,4915 Donovan Ave.,St. Louis, MO,63109,38.5875691,-90.3049975,
16,5,Buder School,5319 Lansdowne Ave.,St. Louis, MO,63109,38.58899065,-90.28313178,
16,6,Nottingham Middle School,4915 Donovan Ave.,St. Louis, MO,63109,38.5875691,-90.3049975,
16,7,St. Marks Episcopal Church,4714 Clifton Ave.,St. Louis, MO,63109,38.58781363,-90.29531364,
16,8,Nottingham School,4915 Donovan Ave.,St. Louis, MO,63109,38.5875691,-90.3049975,
17,1,Adams School,1311 Tower Grove Ave.,St. Louis, MO,63110,38.6247333,-90.25697397,
17,2,Park Place Apartments (Activity Room),4394 Laclede Ave,St. Louis, MO,63108,38.63874753,-90.25494965,
17,3,Adams School,1311 Tower Grove Ave.,St. Louis, MO,63110,38.6247333,-90.25697397,
17,4,Park Place Apartments (Activity Room),4394 Laclede Ave,St. Louis, MO,63108,38.63874753,-90.25494965,
17,5,West Pine Apartments,4490 West Pine Blvd.,St. Louis, MO,63108,38.6406076,-90.25832942,
17,6,Adams School,1311 Tower Grove Ave.,St. Louis, MO,63110,38.6247333,-90.25697397,
17,7,Adams School,1311 Tower Grove Ave.,St. Louis, MO,63110,38.6247333,-90.25697397,
17,8,Park Place Apartments (Activity Room),4394 Laclede Ave.,St. Louis, MO,63108,38.63874753,-90.25494965,
18,1,Metro Academy,4015 Mc Pherson Ave.,St. Louis, MO,63108,38.64088,-90.24306,
18,2,Metro Academy,4015 Mc Pherson Ave.,St. Louis, MO,63108,38.64088,-90.24306,
18,3,Metro Academy,4015 Mc Pherson Ave.,St. Louis, MO,63108,38.64088,-90.24306,
18,4,Washington Montessori School,1130 N. Euclid Ave.,St. Louis, MO,63113,38.657042,-90.259469,
18,5,Hopewell Baptist Church,915 N. Taylor Ave.,St. Louis, MO,63108,38.65219686,-90.25217071,
18,6,Washington Montessori School,1130 N. Euclid Ave.,St. Louis, MO,63113,38.657042,-90.259469,
19,1,Mt Zion Apartments,3300 Park Ave,St. Louis, MO,63104,38.619847,-90.23277,
19,2,Mt Zion Apartments,3300 Park Ave,St. Louis, MO,63104,38.619847,-90.23277,
19,3,Council Towers Apartments,310 S. Grand Blvd.,St. Louis, MO,63103,38.63227397,-90.23440833,
19,4,Mt Zion Apartments,3300 Park Ave,St. Louis, MO,63104,38.619847,-90.23277,
19,5,Central Baptist Church,2845 Washington Avenue,St. Louis, MO,63103,38.63615864,-90.21847092,
19,6,Central Baptist Church,2845 Washington Ave.,St. Louis, MO,63103,38.63615864,-90.21847092,
19,7,Kappa House,500 N. Vandeventer Ave.,St. Louis, MO,63108,38.6412936,-90.23866181,
19,8,Kappa House,500 N. Vandeventer Ave.,St. Louis, MO,63108,38.6412936,-90.23866181,
19,9,Central Baptist Church,2845 Washington Ave.,St. Louis, MO,63103,38.63615864,-90.21847092,
20,1,Froebel School,3709 Nebraska Ave.,St. Louis, MO,63118,38.5882357,-90.23399018,
20,2,Meramec School,2745 Meramec St.,St. Louis, MO,63118,38.57984105,-90.23234858,
20,3,Froebel School,3709 Nebraska Ave.,St. Louis, MO,63118,38.5882357,-90.23399018,
20,4,Alexian Court Apartments,2636 Chippewa St.,St. Louis, MO,63118,38.58621551,-90.22839776,
20,5,Monroe School,3641 Missouri Ave.,St. Louis, MO,63118,38.5880718,-90.22504449,
20,6,Meramec School,2745 Meramec St.,St. Louis, MO,63118,38.57984105,-90.23234858,
20,7,Froebel School,3709 Nebraska Ave.,St. Louis, MO,63118,38.5882357,-90.23399018,
21,1,Julia Davis Library,4415 Natural Bridge Rd.,St. Louis, MO,63115,38.67063,-90.23683,
21,2,Greater Faith Church (multiplex),4125 Natural Bridge Rd.,St. Louis, MO,63115,38.667226,-90.229463,
21,3,Yeatman School,4265 Athlone Ave.,St. Louis, MO,63115,38.6755024,-90.2285088,
21,4,Yeatman School,4265 Athlone Ave.,St. Louis, MO,63115,38.6755024,-90.2285088,
21,5,Prince Hall,4411 N. Newstead Ave.,St. Louis, MO,63115,38.6784638,-90.231192,
21,6,UCM Church Of Jesus Christ,4492 Bircher Blvd.,St. Louis, MO,63115,38.68231991,-90.23362827,
21,7,St. Peters A M E Church,4730 Margaretta Ave.,St. Louis, MO,63115,38.6756833,-90.24370568,
21,8,St. Peters A M E Church,4730 Margaretta Ave.,St. Louis, MO,63115,38.6756833,-90.24370568,
21,9,Yeatman School,4265 Athlone Ave.,St. Louis, MO,63115,38.6755024,-90.2285088,
22,1,Friendly Temple Missionary Church (Fellowship Hall),5544 M L King Drive,St. Louis, MO,63112,38.66874,-90.27415,
22,2,Laclede School,5821 Kennerly Ave.,St. Louis, MO,63112,38.6773343,-90.27661797,
22,3,Omega Center,3900 Goodfellow Blvd.,St. Louis, MO,63120,38.69396467,-90.26763167,
22,4,Friendly Temple Missionary Church (Fellowship Hall),5544 M L King Dr.,St. Louis, MO,63112,38.66874,-90.27415,
22,5,Friendly Temple Missionary Church (Fellowship Hall),5544 M L King Drive,St. Louis, MO,63112,38.66874,-90.27415,
22,6,Alpha Terrace Apartments,6105 Etzel Ave.,St. Louis, MO,63112,38.66579912,-90.29410153,
22,7,Laclede School,5821 Kennerly Ave.,St. Louis, MO,63112,38.6773343,-90.27661797,
22,8,Friendly Temple Missionary Church (Fellowship Hall),5544 M L King Drive,St. Louis, MO,63112,38.66874,-90.27415,
23,1,St. Michael's Temple Church,6520 Arsenal St.,St. Louis, MO,63139,38.60794954,-90.29956385,